store,date,weekly_sales,holiday_flag,temperature,fuel_price,cpi,unemployment,year,month,day,weekday,is_weekend,is_holiday,holiday_name,store_name,week,quarter,lag_1,lag_2,lag_4,lag_13,lag_26,lag_52,sales_roll_4,sales_roll_13,sales_roll_26,sales_roll_52,sales_diff_1,sales_diff_4,cumulative_sales,avg_sales_per_store,promo_last_week,promo_next_week,store_encoded
1,2010-01-10,1453329.5,0,71.89,2.603,211.6719895,7.838,2010,1,10,6,1,0,No Holiday,Mesa West,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1453329.5,1601845.140877193,0.0,0.0,0
1,2010-02-04,1594968.28,0,62.27,2.719,210.8204499,7.808,2010,2,4,3,0,0,No Holiday,Mesa West,5,1,1453329.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,141638.78000000003,0.0,3048297.7800000003,1601845.140877193,0.0,0.0,0
1,2010-02-07,1492418.14,0,80.91,2.669,211.2235333,7.787,2010,2,7,6,1,0,No Holiday,Mesa West,5,1,1594968.28,1453329.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-102550.14000000013,0.0,4540715.92,1601845.140877193,0.0,0.0,0
1,2010-03-09,1540163.53,0,81.21,2.577,211.5312479,7.787,2010,3,9,1,0,0,No Holiday,Mesa West,10,1,1492418.14,1594968.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47745.39000000013,0.0,6080879.45,1601845.140877193,0.0,0.0,0
1,2010-03-12,1548033.78,0,49.27,2.708,211.607193,7.838,2010,3,12,4,0,0,No Holiday,Mesa West,10,1,1540163.53,1492418.14,1453329.5,0.0,0.0,0.0,1520219.8625,0.0,0.0,0.0,7870.25,94704.28000000003,7628913.23,1601845.140877193,0.0,0.0,0
1,2010-04-06,1615524.71,0,80.69,2.705,211.1764278,7.808,2010,4,6,1,0,0,No Holiday,Mesa West,14,2,1548033.78,1540163.53,1594968.28,0.0,0.0,0.0,1543895.9325,0.0,0.0,0.0,67490.92999999993,20556.429999999935,9244437.94,1601845.140877193,0.0,0.0,0
1,2010-05-02,1643690.9,0,42.31,2.572,211.0963582,8.106,2010,5,2,6,1,0,No Holiday,Mesa West,17,2,1615524.71,1548033.78,1492418.14,0.0,0.0,0.0,1549035.04,0.0,0.0,0.0,28166.189999999944,151272.76,10888128.84,1601845.140877193,0.0,0.0,0
1,2010-05-03,1554806.68,0,46.5,2.625,211.3501429,8.106,2010,5,3,0,0,0,No Holiday,Mesa West,18,2,1643690.9,1615524.71,1540163.53,0.0,0.0,0.0,1586853.23,0.0,0.0,0.0,-88884.21999999997,14643.149999999907,12442935.52,1601845.140877193,0.0,0.0,0
1,2010-05-11,1551659.28,0,58.74,2.689,211.9563939,7.838,2010,5,11,1,0,0,No Holiday,Mesa West,19,2,1554806.68,1643690.9,1548033.78,0.0,0.0,0.0,1590514.0174999998,0.0,0.0,0.0,-3147.399999999907,3625.5,13994594.8,1601845.140877193,0.0,0.0,0
1,2010-06-08,1605491.78,0,87.16,2.627,211.5046621,7.787,2010,6,8,1,0,0,No Holiday,Mesa West,23,2,1551659.28,1554806.68,1615524.71,0.0,0.0,0.0,1591420.3924999998,0.0,0.0,0.0,53832.5,-10032.929999999935,15600086.58,1601845.140877193,0.0,1.0,0
1,2010-07-05,1603955.12,0,72.55,2.835,210.3399684,7.808,2010,7,5,0,0,1,Independence Day (observed),Mesa West,27,3,1605491.78,1551659.28,1643690.9,0.0,0.0,0.0,1588912.16,0.0,0.0,0.0,-1536.6599999999162,-39735.779999999795,17204041.7,1601845.140877193,0.0,0.0,0
1,2010-08-10,1508239.93,0,63.93,2.633,211.7467544,7.838,2010,8,10,1,0,0,No Holiday,Mesa West,32,3,1603955.12,1605491.78,1554806.68,0.0,0.0,0.0,1578978.215,0.0,0.0,0.0,-95715.19000000018,-46566.75,18712281.63,1601845.140877193,1.0,0.0,0
1,2010-09-04,1545418.53,0,65.86,2.77,210.6228574,7.808,2010,9,4,5,1,0,No Holiday,Mesa West,35,3,1508239.93,1603955.12,1551659.28,0.0,0.0,0.0,1567336.5275,0.0,0.0,0.0,37178.60000000009,-6240.75,20257700.16,1601845.140877193,0.0,0.0,0
1,2010-09-07,1546074.18,0,80.48,2.642,211.108414,7.787,2010,9,7,1,0,0,No Holiday,Mesa West,36,3,1545418.53,1508239.93,1605491.78,1453329.5,0.0,0.0,1565776.34,1558284.6276923078,0.0,0.0,655.6499999999069,-59417.60000000009,21803774.34,1601845.140877193,0.0,0.0,0
1,2010-10-09,1507460.69,1,78.69,2.565,211.4951902,7.787,2010,10,9,5,1,0,No Holiday,Mesa West,40,4,1546074.18,1545418.53,1603955.12,1594968.28,0.0,0.0,1550921.94,1565418.833846154,0.0,0.0,-38613.48999999999,-96494.43000000017,23311235.03,1601845.140877193,0.0,0.0,0
1,2010-10-12,1682614.26,0,46.33,2.843,211.4659526,7.838,2010,10,12,1,0,0,No Holiday,Mesa West,41,4,1507460.69,1546074.18,1508239.93,1492418.14,0.0,0.0,1526798.3325,1558687.4807692308,0.0,0.0,175153.57000000007,174374.33000000007,24993849.29,1601845.140877193,0.0,0.0,0
1,2010-11-06,1542561.09,0,80.43,2.668,211.4560951,7.808,2010,11,6,5,1,0,No Holiday,Mesa West,44,4,1682614.26,1507460.69,1545418.53,1540163.53,0.0,0.0,1570391.915,1573317.9515384613,0.0,0.0,-140053.16999999993,-2857.439999999944,26536410.38,1601845.140877193,0.0,0.0,0
1,2010-12-02,1641957.44,1,38.51,2.548,211.2421698,8.106,2010,12,2,3,0,0,No Holiday,Mesa West,48,4,1542561.09,1682614.26,1546074.18,1548033.78,0.0,0.0,1569677.555,1573502.3792307691,0.0,0.0,99396.34999999986,95883.26000000001,28178367.82,1601845.140877193,0.0,0.0,0
1,2010-12-03,1439541.59,0,57.79,2.667,211.3806429,8.106,2010,12,3,4,0,0,No Holiday,Mesa West,48,4,1641957.44,1542561.09,1507460.69,1615524.71,0.0,0.0,1593648.37,1580727.2761538462,0.0,0.0,-202415.84999999986,-67919.09999999986,29617909.41,1601845.140877193,0.0,0.0,0
1,2010-12-11,1494479.49,0,59.61,2.728,212.003944,7.838,2010,12,11,5,1,0,No Holiday,Mesa West,49,4,1439541.59,1641957.44,1682614.26,1643690.9,0.0,0.0,1576668.5950000002,1567190.113076923,0.0,0.0,54937.89999999991,-188134.77000000002,31112388.9,1601845.140877193,0.0,0.0,0
1,2011-01-04,1495064.75,0,59.17,3.524,214.8371664,7.682,2011,1,4,1,0,0,No Holiday,Mesa West,1,1,1494479.49,1439541.59,1542561.09,1554806.68,0.0,0.0,1529634.9024999999,1555712.3123076921,0.0,0.0,585.2600000000093,-47496.340000000084,32607453.65,1601845.140877193,0.0,0.0,0
1,2011-01-07,1488538.09,0,85.55,3.524,215.1841368,7.962,2011,1,7,4,0,0,No Holiday,Mesa West,1,1,1495064.75,1494479.49,1641957.44,1551659.28,0.0,0.0,1517760.8175,1551116.7792307693,0.0,0.0,-6526.659999999916,-153419.34999999986,34095991.74,1601845.140877193,0.0,0.0,0
1,2011-02-09,1550229.22,0,87.83,3.533,215.7971409,7.962,2011,2,9,2,0,0,No Holiday,Mesa West,6,1,1488538.09,1495064.75,1439541.59,1605491.78,0.0,0.0,1479405.9800000002,1546261.303076923,0.0,0.0,61691.12999999989,110687.62999999989,35646220.96,1601845.140877193,0.0,0.0,0
1,2011-02-12,1584083.95,0,48.91,3.172,218.7147333,7.866,2011,2,12,5,1,0,No Holiday,Mesa West,6,1,1550229.22,1488538.09,1494479.49,1603955.12,0.0,0.0,1507077.8875,1542010.3369230772,0.0,0.0,33854.72999999998,89604.45999999996,37230304.91,1601845.140877193,0.0,0.0,0
1,2011-03-06,1635078.41,0,83.0,3.699,215.2736553,7.682,2011,3,6,6,1,0,No Holiday,Mesa West,9,1,1584083.95,1550229.22,1495064.75,1508239.93,0.0,0.0,1529479.0025000002,1540481.7853846154,0.0,0.0,50994.45999999996,140013.65999999992,38865383.32,1601845.140877193,0.0,0.0,0
1,2011-04-02,1606629.58,0,42.27,2.989,212.5668812,7.742,2011,4,2,5,1,0,No Holiday,Mesa West,13,2,1635078.41,1584083.95,1488538.09,1545418.53,0.0,0.0,1564482.4175,1550238.5915384616,0.0,0.0,-28448.82999999984,118091.48999999999,40472012.9,1601845.140877193,0.0,0.0,0
1,2011-04-03,1636263.41,0,59.58,3.288,213.8233327,7.742,2011,4,3,6,1,0,No Holiday,Mesa West,13,2,1606629.58,1635078.41,1550229.22,1546074.18,1453329.5,0.0,1594005.29,1554947.1338461537,1556615.8807692307,0.0,29633.82999999984,86034.18999999994,42108276.31,1601845.140877193,0.0,0.0,0
1,2011-04-11,1697229.58,0,54.98,3.332,217.837382,7.866,2011,4,11,0,0,0,No Holiday,Mesa West,15,2,1636263.41,1606629.58,1584083.95,1507460.69,1594968.28,0.0,1615513.8375,1561884.766923077,1563651.8003846155,0.0,60966.17000000016,113145.63000000012,43805505.89,1601845.140877193,0.0,0.0,0
1,2011-05-08,1624383.75,0,91.65,3.684,215.544618,7.962,2011,5,8,6,1,0,No Holiday,Mesa West,18,2,1697229.58,1636263.41,1635078.41,1682614.26,1492418.14,0.0,1643800.2449999999,1576482.3738461537,1567584.9273076924,0.0,-72845.83000000007,-10694.659999999916,45429889.64,1601845.140877193,0.0,0.0,0
1,2011-06-05,1629391.28,0,64.61,3.906,215.7960035,7.682,2011,6,5,6,1,0,No Holiday,Mesa West,22,2,1624383.75,1697229.58,1606629.58,1542561.09,1540163.53,0.0,1641126.58,1572003.103846154,1572660.5276923077,0.0,5007.530000000028,22761.699999999953,47059280.92,1601845.140877193,0.0,0.0,0
1,2011-07-01,1444732.28,0,48.27,2.976,211.4047419,7.742,2011,7,1,4,0,0,No Holiday,Mesa West,26,3,1629391.28,1624383.75,1636263.41,1641957.44,1548033.78,0.0,1646817.0050000001,1578682.349230769,1576092.3642307692,0.0,-184659.0,-191531.1299999999,48504013.2,1601845.140877193,0.0,0.0,0
1,2011-07-10,1630989.95,0,69.31,3.285,217.0453684,7.866,2011,7,10,6,1,0,No Holiday,Mesa West,27,3,1444732.28,1629391.28,1697229.58,1439541.59,1615524.71,0.0,1598934.2225000001,1563511.183076923,1572119.229615385,0.0,186257.66999999993,-66239.63000000012,50135003.15,1601845.140877193,0.0,0.0,0
1,2011-08-04,1614259.35,0,67.84,3.622,215.0743939,7.682,2011,8,4,3,0,0,No Holiday,Mesa West,31,3,1630989.95,1444732.28,1624383.75,1494479.49,1643690.9,0.0,1582374.315,1578237.98,1572714.0465384615,0.0,-16730.59999999986,-10124.399999999907,51749262.5,1601845.140877193,0.0,0.0,0
1,2011-08-07,1534849.64,0,85.83,3.48,215.2771754,7.962,2011,8,7,6,1,0,No Holiday,Mesa West,31,3,1614259.35,1630989.95,1629391.28,1495064.75,1554806.68,0.0,1579843.215,1587451.8153846154,1571582.063846154,0.0,-79409.7100000002,-94541.64000000013,53284112.14,1601845.140877193,0.0,0.0,0
1,2011-09-09,1540471.24,1,76.0,3.546,215.861056,7.962,2011,9,9,4,0,0,No Holiday,Mesa West,36,3,1534849.64,1614259.35,1444732.28,1488538.09,1551659.28,0.0,1556207.805,1590512.1915384617,1570814.4853846154,0.0,5621.600000000093,95738.95999999996,54824583.38,1601845.140877193,0.0,0.0,0
